,title,city,address,stars,text,textTranslated,text_PL,text_EN
5099,Dara Kebab,Rzeszów,"Grunwaldzka 24, 35-068 Rzeszów, Polska",5,"Kebab na talerzu... Mięso tradycyjne niby wieprzowe.... ale samo podanie na talerzu, zestaw surówek, sosy...
Smacznie i ładnie podane....A nie narzucane... Polecam",,"Kebab na talerzu... Mięso tradycyjne niby wieprzowe.... ale samo podanie na talerzu, zestaw surówek, sosy...
Smacznie i ładnie podane....A nie narzucane... Polecam","Kebab on a plate... traditional meat like pork... but just an application on a plate, a set of salads, sauces... Tasty and nicely served...not imposed... I recommend"
5100,Dara Kebab,Rzeszów,"Grunwaldzka 24, 35-068 Rzeszów, Polska",5,Delicious!,Pyszne!,Pyszne!,It's delicious!
5101,Dara Kebab,Rzeszów,"Grunwaldzka 24, 35-068 Rzeszów, Polska",5,Very good food with very good ambiance,Bardzo dobre jedzenie z bardzo dobrą atmosferą,Bardzo dobre jedzenie z bardzo dobrą atmosferą,Very good food with a very good atmosphere
5102,Dara Kebab,Rzeszów,"Grunwaldzka 24, 35-068 Rzeszów, Polska",5,Muala,,Muala,Muala
5103,Dara Kebab,Rzeszów,"Grunwaldzka 24, 35-068 Rzeszów, Polska",2,Brak łagodnego sosu poza czosnkowym. W lokalu ze 30 stopni. Obsługa nie wydawała sie zbyt miła. Jako opcja „powrót z imprezy” ujdzie.,,Brak łagodnego sosu poza czosnkowym. W lokalu ze 30 stopni. Obsługa nie wydawała sie zbyt miła. Jako opcja „powrót z imprezy” ujdzie.,No mild sauce except garlic. At the premises of 30 degrees. The service did not seem very nice. As an option to return from the event.
5104,Dara Kebab,Rzeszów,"Grunwaldzka 24, 35-068 Rzeszów, Polska",3,Nieststy w lokalu śmierdzi kanalizacja… czytaj szambem ….,,Nieststy w lokalu śmierdzi kanalizacja… czytaj szambem ….,Insecure at the premises smells like sewerage... read in cesspool....
5106,Dara Kebab,Rzeszów,"Grunwaldzka 24, 35-068 Rzeszów, Polska",5,"Pyszny kebab na talerzu , tortilla ( darolo) i kebab studencki! Gorąco polecam !",,"Pyszny kebab na talerzu , tortilla ( darolo) i kebab studencki! Gorąco polecam !","Delicious kebab on a plate, tortilla (darolo) and student kebab! I highly recommend!"
5109,Dara Kebab,Rzeszów,"Grunwaldzka 24, 35-068 Rzeszów, Polska",4,Kebab w cieście bardzo dobry ale Burger średnio,,Kebab w cieście bardzo dobry ale Burger średnio,Kebab in cake very good but Burger average
5111,Dara Kebab,Rzeszów,"Grunwaldzka 24, 35-068 Rzeszów, Polska",5,"Swieze mieso, swieze saladki,po prostu pysznie . Dara Kebab jak zwykle na wysokim poziomie!",,"Swieze mieso, swieze saladki,po prostu pysznie . Dara Kebab jak zwykle na wysokim poziomie!","Fresh meat, fresh salads, just delicious. Dara Kebab as usual on a high level!"
5112,Dara Kebab,Rzeszów,"Grunwaldzka 24, 35-068 Rzeszów, Polska",5,"Próbowałem wiele kebabów ale tylko do Dary wracam. Polecam kebab na talerzu, jest zdecydowanie najlepszym wyborem według mnie.",,"Próbowałem wiele kebabów ale tylko do Dary wracam. Polecam kebab na talerzu, jest zdecydowanie najlepszym wyborem według mnie.","I've tried a lot of kebabs but I'm only going back to Dara. I recommend kebab on a plate, it's definitely the best choice I can think of."
5113,Dara Kebab,Rzeszów,"Grunwaldzka 24, 35-068 Rzeszów, Polska",5,Miło i grzecznie. Polecam kebaby,,Miło i grzecznie. Polecam kebaby,Nice and polite. I recommend kebabs
5115,Dara Kebab,Rzeszów,"Grunwaldzka 24, 35-068 Rzeszów, Polska",4,"Kebab całkiem niezły. Mięso to klasyczna kula mocy, surówki standardowo dwa rodzaje kapusty i sosy nawet ok. Jednym słowem, poprawny.",,"Kebab całkiem niezły. Mięso to klasyczna kula mocy, surówki standardowo dwa rodzaje kapusty i sosy nawet ok. Jednym słowem, poprawny.","Kebab is pretty good. Meat is a classic power ball, two types of cabbages and sauces as standard. In a word, correct."
5117,Dara Kebab,Rzeszów,"Rynek 18, 35-064 Rzeszów, Polska",5,Bardzo dobra obsługa i jedzenie tak samo dobre będę częściej odwiedzał ten lokal 😎,,Bardzo dobra obsługa i jedzenie tak samo dobre będę częściej odwiedzał ten lokal 😎,Very good service and food as good I'll visit this place more often
5120,Dara Kebab,Rzeszów,"Rynek 18, 35-064 Rzeszów, Polska",5,Jem tu od ponad 10 ciu lat i zawsze było tip top,,Jem tu od ponad 10 ciu lat i zawsze było tip top,I've been eating here for over 10 years and there's always been a tip top
5122,Dara Kebab,Rzeszów,"Rynek 18, 35-064 Rzeszów, Polska",5,ciapak kazal dac opinie to daje,,ciapak kazal dac opinie to daje,The pussy told me to give opinions it gives
5124,Dara Kebab,Rzeszów,"Rynek 18, 35-064 Rzeszów, Polska",5,Bardzo miły pan  pyszne jedzenie.,,Bardzo miły pan  pyszne jedzenie.,You're very nice food.
5126,Dara Kebab,Rzeszów,"Rynek 18, 35-064 Rzeszów, Polska",5,Wporzadku kebab dobry,,Wporzadku kebab dobry,"All right, good kebab."
5127,Dara Kebab,Rzeszów,"Rynek 18, 35-064 Rzeszów, Polska",5,super kebab,,super kebab,super kebab
5128,Dara Kebab,Rzeszów,"Rynek 18, 35-064 Rzeszów, Polska",4,"uprzejma obsługa, jedzenie smaczne",,"uprzejma obsługa, jedzenie smaczne","courteous service, delicious food"
5131,Dara Kebab,Rzeszów,"Rynek 18, 35-064 Rzeszów, Polska",5,"polecam, bardzo dobry kebab w dobrej cenie",,"polecam, bardzo dobry kebab w dobrej cenie","I recommend, very good kebab at a good price"
5139,Dara kebab,Rzeszów,"Kwiatkowskiego, 35-311 Rzeszów, Polska",5,Wszystko jest niesamowite!,,Wszystko jest niesamowite!,Everything's amazing!
5140,Dara kebab,Rzeszów,"Kwiatkowskiego, 35-311 Rzeszów, Polska",5,Polecam serdecznie🫡,,Polecam serdecznie🫡,I recommend it cordially.
5143,Dara kebab,Rzeszów,"Kwiatkowskiego, 35-311 Rzeszów, Polska",1,"Oceniam budke na kwiatkowskiego obok akademików. Ewidentnie jakość w każdym lokalu jest inna. Jedząc kebaba np. obok leclerca dostajemy naprawdę ok kebab z odpowiednią ilością mięsa i sosu, dobrze wypieczoną pitą. Na kwaitkowskiego natomiast gdzie celują w pijanego studenta któremu wszystko jedno co zje dostajemy ociekającego tłuszczem kapuscianego ulepa  w którym jest mało mięsa którego nawet nie zważono a było go na pewno za mało !!! Do tego 0 sosu 90% to kapusta a mięso nie wiem dlaczego jest zupełnie inne niż w innych lokalach. Nie polecam na pewno jeść w tej lokalizacji. Leclerc jak najbardziej ok.",,"Oceniam budke na kwiatkowskiego obok akademików. Ewidentnie jakość w każdym lokalu jest inna. Jedząc kebaba np. obok leclerca dostajemy naprawdę ok kebab z odpowiednią ilością mięsa i sosu, dobrze wypieczoną pitą. Na kwaitkowskiego natomiast gdzie celują w pijanego studenta któremu wszystko jedno co zje dostajemy ociekającego tłuszczem kapuscianego ulepa  w którym jest mało mięsa którego nawet nie zważono a było go na pewno za mało !!! Do tego 0 sosu 90% to kapusta a mięso nie wiem dlaczego jest zupełnie inne niż w innych lokalach. Nie polecam na pewno jeść w tej lokalizacji. Leclerc jak najbardziej ok.","Eating a kebab e.g. next to a lecherca, we get a really ok kebab with a sufficient amount of meat and sauce, a well-boiled pita. On the Quaitkovsky, on the other hand, where they aim at a drunken student who gets everything that eats a fat-squeezed squeaky patch in which there is little meat that hasn't even been weighed and it was not enough!!! To this 0 sauce 90% is cabbage and I don't know why the meat is completely different than in other places. I don't recommend eating at this location. Leclerc as much as approx."
5145,Dara kebab,Rzeszów,"Kwiatkowskiego, 35-311 Rzeszów, Polska",5,"Obsługa pierwsza klasa, klimacik super, jedzenie też niczego sobie",,"Obsługa pierwsza klasa, klimacik super, jedzenie też niczego sobie","First-class service, great climate, good food too."
5146,Dara kebab,Rzeszów,"Kwiatkowskiego, 35-311 Rzeszów, Polska",4,"gud food for ze price, like to come there to grab some yummers stuff in the evening. Food is sometimes not hot enough imo, but no other gripes. Overall very much satisfactory","gud food za taką cenę, lubię tam przychodzić wieczorem, żeby zjeść coś pysznego. Jedzenie czasami nie jest wystarczająco gorące imo, ale nie ma innych zastrzeżeń. Ogólnie bardzo zadowalający","gud food za taką cenę, lubię tam przychodzić wieczorem, żeby zjeść coś pysznego. Jedzenie czasami nie jest wystarczająco gorące imo, ale nie ma innych zastrzeżeń. Ogólnie bardzo zadowalający","gud food at such a price, I like to come there tonight to eat something delicious. Food is sometimes not hot enough imo, but there are no other objections. Overall very satisfactory"
5151,Dara kebab,Rzeszów,"Kwiatkowskiego, 35-311 Rzeszów, Polska",5,"Serdecznie polecam, bardzo miła obsługa, szybka realizacja, pyszne kebaby :)",,"Serdecznie polecam, bardzo miła obsługa, szybka realizacja, pyszne kebaby :)","I highly recommend, very nice service, quick implementation, delicious kebabs:)"
5152,Dara kebab,Rzeszów,"Kwiatkowskiego, 35-311 Rzeszów, Polska",5,Naprawdę bardzo smaczny kebab.,,Naprawdę bardzo smaczny kebab.,Really very tasty kebab.
5154,Dara kebab,Rzeszów,"Kwiatkowskiego, 35-311 Rzeszów, Polska",3,"Po bardzo długiej przerwie podczas wizyty w Rzeszowie niemogłem odmówić sobie kebaba u dary, niestety zupełnie nie to co kiedyś ,co nie oznacza że był zły. Poprostu osobiście uważam że kiedyś za gdy były  dwa punkty w Rzeszowie to był znacznie lepszy",,"Po bardzo długiej przerwie podczas wizyty w Rzeszowie niemogłem odmówić sobie kebaba u dary, niestety zupełnie nie to co kiedyś ,co nie oznacza że był zły. Poprostu osobiście uważam że kiedyś za gdy były  dwa punkty w Rzeszowie to był znacznie lepszy","After a very long break during my visit to Rzeszów I could not deny myself a kebab at a gift, unfortunately not at all what used to be, which does not mean that he was bad. I just personally think that once when there were two points in Rzeszow it was much better"
5157,Dara Kebab,Rzeszów,"al. Tadeusza Rejtana 69, 35-001 Rzeszów, Polska",5,"Bardzo dobry kebab, miła obsługa jem tu bardzo często i jest to jeden z lepszych kebabów z jakimi miałem styczność.",,"Bardzo dobry kebab, miła obsługa jem tu bardzo często i jest to jeden z lepszych kebabów z jakimi miałem styczność.","Very good kebab, nice service I eat here very often and it is one of the best kebabs I have had contact with."
5161,Dara Kebab,Rzeszów,"al. Tadeusza Rejtana 69, 35-001 Rzeszów, Polska",5,"Bardzo smacznie ,przyjemna obsługa",,"Bardzo smacznie ,przyjemna obsługa","Very tasty, pleasant service"
5162,Dara Kebab,Rzeszów,"al. Tadeusza Rejtana 69, 35-001 Rzeszów, Polska",5,"Дуже смачно, дякую!","Bardzo smaczne, dziękuję!","Bardzo smaczne, dziękuję!","Very tasty, thank you!"
5165,Dara Kebab,Rzeszów,"al. Tadeusza Rejtana 69, 35-001 Rzeszów, Polska",5,👍👍👍👍,,👍👍👍👍,"Okay, okay."
5166,Dara Kebab,Rzeszów,"al. Tadeusza Rejtana 69, 35-001 Rzeszów, Polska",5,dobre pracownicy dobrze robią niech sie to trzyma,,dobre pracownicy dobrze robią niech sie to trzyma,Good workers do well to hold on to it
5168,Dara Kebab,Rzeszów,"al. Tadeusza Rejtana 69, 35-001 Rzeszów, Polska",5,"Nie mam zarzutów, mogły by być większe porcje ociupinkę ale tak to jest git",,"Nie mam zarzutów, mogły by być większe porcje ociupinkę ale tak to jest git","I don't have any charges, there might be a little bit bigger, but yeah, that's fine."
5169,Dara Kebab,Rzeszów,"al. Tadeusza Rejtana 69, 35-001 Rzeszów, Polska",5,Fajny kebabik mi się spodobało,,Fajny kebabik mi się spodobało,I like the kebab.
5170,Dara Kebab,Rzeszów,"al. Tadeusza Rejtana 69, 35-001 Rzeszów, Polska",5,Dziękuję za dobry klimat i wspaniały kebab,,Dziękuję za dobry klimat i wspaniały kebab,Thank you for the good climate and wonderful kebab
5171,Dara Kebab,Rzeszów,"al. Tadeusza Rejtana 69, 35-001 Rzeszów, Polska",5,Super,,Super,Great.
5172,Dara Kebab,Rzeszów,"al. Tadeusza Rejtana 69, 35-001 Rzeszów, Polska",5,mazzalik,smak,smak,taste
5173,Dara Kebab,Rzeszów,"al. Tadeusza Rejtana 69, 35-001 Rzeszów, Polska",5,Pyszny kebab falafel i bardzo miła obsługa. :),,Pyszny kebab falafel i bardzo miła obsługa. :),Delicious kebab falafel and very nice service.:)
5176,Dara Kebab,Rzeszów,"Grunwaldzka 24, 35-068 Rzeszów, Polska",1,"Nie polecam, nawalone kapuchy i odrobiną mięsa blee",,"Nie polecam, nawalone kapuchy i odrobiną mięsa blee",I don't recommend pissed kaputs and a little blee meat.
5177,Dara Kebab,Rzeszów,"Grunwaldzka 24, 35-068 Rzeszów, Polska",5,"Jestem raz w roku w Rzeszowie,kiedy jest rajd samochodowy,i zawsze idę tam na kebab,muszę przyznać że co roku jest coraz lepszy.Brawo naprawdę bardzo dobre jedzenie i bardzo miła obsługa.Polecam",,"Jestem raz w roku w Rzeszowie,kiedy jest rajd samochodowy,i zawsze idę tam na kebab,muszę przyznać że co roku jest coraz lepszy.Brawo naprawdę bardzo dobre jedzenie i bardzo miła obsługa.Polecam","I am once a year in Rzeszow, when there is a car race, and I always go there for kebab, I have to admit that every year it gets better.Bravo really very good food and very nice service."
5178,Dara Kebab,Rzeszów,"Grunwaldzka 24, 35-068 Rzeszów, Polska",5,"Jeden z lepszych kebabów w mieście, bardzo dobre jedzenie i bardzo szybko",,"Jeden z lepszych kebabów w mieście, bardzo dobre jedzenie i bardzo szybko","One of the best kebabs in town, very good food and very fast"
5179,Dara Kebab,Rzeszów,"Grunwaldzka 24, 35-068 Rzeszów, Polska",5,"Od lat nr 1 wśród kebabów w Rzeszowie. Największy plus to chyba surówki - zawsze świeże, a przede wszystkim po prostu pyszne. Idealnie pasują do mojego ulubionego ""Zestawu na talerzu"". Mięsa i sosy również pierwsza klasa. Obsługa miła, ceny nie są wysokie, na zamówione danie nie trzeba długo czekać. Polecam",,"Od lat nr 1 wśród kebabów w Rzeszowie. Największy plus to chyba surówki - zawsze świeże, a przede wszystkim po prostu pyszne. Idealnie pasują do mojego ulubionego ""Zestawu na talerzu"". Mięsa i sosy również pierwsza klasa. Obsługa miła, ceny nie są wysokie, na zamówione danie nie trzeba długo czekać. Polecam","For years no. 1 among kebabs in Rzeszów. The biggest plus is probably pig iron - always fresh and above all just delicious. Ideal for my favorite ""Set on a plate."" Meat and sauces also first class. Service nice, prices are not high, for the ordered dish does not need to wait long. I recommend"
5180,Dara Kebab,Rzeszów,"Grunwaldzka 24, 35-068 Rzeszów, Polska",5,"Najlepsze kebaby lub posypki tylko w Darze, jakieś mevlany czy inne lipne butki mogą possać hehe, polecam  :)",,"Najlepsze kebaby lub posypki tylko w Darze, jakieś mevlany czy inne lipne butki mogą possać hehe, polecam  :)","Best kebabs or sprinkles only in Dara, some mevlanas or other fake shoes can suck hehe, I recommend:)"
5181,Dara Kebab,Rzeszów,"Grunwaldzka 24, 35-068 Rzeszów, Polska",5,"Plus qu'un kebab, un Dara Kebab","Więcej niż kebab, Dara Kebab","Więcej niż kebab, Dara Kebab","More than kebab, Dara Kebab"
5182,Dara Kebab,Rzeszów,"Grunwaldzka 24, 35-068 Rzeszów, Polska",3,Sredni kebab jak DLA mnie chodzi o smak .Servis z najwyzszej polki szybko latwo I przyjemnie .,,Sredni kebab jak DLA mnie chodzi o smak .Servis z najwyzszej polki szybko latwo I przyjemnie .,Medium kebab as for me it is about taste.Servis with the highest regiment quickly and pleasantly.
5186,Dara Kebab,Rzeszów,"Grunwaldzka 24, 35-068 Rzeszów, Polska",5,Super,,Super,Great.
5188,Dara Kebab,Rzeszów,"Grunwaldzka 24, 35-068 Rzeszów, Polska",5,"Czysto, smacznie kebab naprawdę wart polecenia. Niedługi czas oczekiwania fajne sosy.
Łazienka czysta. Polecam",,"Czysto, smacznie kebab naprawdę wart polecenia. Niedługi czas oczekiwania fajne sosy.
Łazienka czysta. Polecam","Clean, tasty kebab really worth order. Short waiting time cool sauces. Bathroom clean. I recommend"
5189,Dara Kebab,Rzeszów,"Grunwaldzka 24, 35-068 Rzeszów, Polska",4,Kurwa it's Dara kebab,Kurwa to kebab Dara,Kurwa to kebab Dara,Fucking Dara's kebab.
5193,Dara Kebab,Rzeszów,"Grunwaldzka 24, 35-068 Rzeszów, Polska",5,Pyszny kebab,,Pyszny kebab,Delicious kebab
5194,Dara Kebab,Rzeszów,"Grunwaldzka 24, 35-068 Rzeszów, Polska",5,Dobry kebab.,,Dobry kebab.,Good kebab.
5196,Dara Kebab,Rzeszów,"Jana Matejki 16, 35-060 Rzeszów, Polska",5,Najlepsza Dara i ogólnie top kebab w Rzeszowie.,,Najlepsza Dara i ogólnie top kebab w Rzeszowie.,Best Dara and overall top kebab in Rzeszow.
5197,Dara Kebab,Rzeszów,"Jana Matejki 16, 35-060 Rzeszów, Polska",5,"Ok ale małe to, wiecznie zajęte stoliki przez uczniów i studentów, niektórzy z obsługi wyglądają jakby pracowali za karę, bez uśmiechu i następny, następny...",,"Ok ale małe to, wiecznie zajęte stoliki przez uczniów i studentów, niektórzy z obsługi wyglądają jakby pracowali za karę, bez uśmiechu i następny, następny...","Okay, but the little one, always busy tables by students and students, some of the staff look like they're working for punishment, without a smile, and the next one, the next one..."
5198,Dara Kebab,Rzeszów,"Jana Matejki 16, 35-060 Rzeszów, Polska",5,"В центрі міста, гарна локація.
Недорого та смачно, швидке приготування. Ситно, хороші порції.","W centrum miasta, dobra lokalizacja.
Niedrogie i smaczne, szybkie w przygotowaniu. Satysfakcjonujące, dobre porcje.","W centrum miasta, dobra lokalizacja.
Niedrogie i smaczne, szybkie w przygotowaniu. Satysfakcjonujące, dobre porcje.","In the city center, good location. Inexpensive and tasty, fast in preparation. Satisfying, good servings."
5204,Dara Kebab,Rzeszów,"Jana Matejki 16, 35-060 Rzeszów, Polska",2,Ogólnie w smaku dobry sosy też. Ale miesa to była śladowa ilość na zapach ledwo wyczuwalna. Jak bym chciał zamówić bez mięsa to bym wziął  wegetariański.  Końcówkę wyrzuciłem bo samej sorowki nie będę jadł.  I na pewno więcej tu nie zawitam.,,Ogólnie w smaku dobry sosy też. Ale miesa to była śladowa ilość na zapach ledwo wyczuwalna. Jak bym chciał zamówić bez mięsa to bym wziął  wegetariański.  Końcówkę wyrzuciłem bo samej sorowki nie będę jadł.  I na pewno więcej tu nie zawitam.,"But the meat was a trace amount for the smell of barely smelling, and if I wanted to order without meat, I'd take a vegetarian."
5205,Dara Kebab,Rzeszów,"Jana Matejki 16, 35-060 Rzeszów, Polska",3,"Obsługa spoko,jedzenie na miejscu tez ok. Za to dostawy są mega długie aż za długie,jedzenie przy dostawie zimne.",,"Obsługa spoko,jedzenie na miejscu tez ok. Za to dostawy są mega długie aż za długie,jedzenie przy dostawie zimne.","Service cool, eating on site also approx. For this deliveries are mega long until too long, eating at the delivery cold."
5207,Dara Kebab,Rzeszów,"Jana Matejki 16, 35-060 Rzeszów, Polska",5,Bardzo Dobre Kebaby,,Bardzo Dobre Kebaby,Very Good Kebaby
5210,Dara Kebab,Rzeszów,"Jana Matejki 16, 35-060 Rzeszów, Polska",4,Ok,,Ok,Okay.
5211,Dara Kebab,Rzeszów,"Jana Matejki 16, 35-060 Rzeszów, Polska",1,Same kapusta,,Same kapusta,Cabbage alone
5212,Dara Kebab,Rzeszów,"Jana Matejki 16, 35-060 Rzeszów, Polska",5,"Dobry kebab, miła obsługa, niewygórowane ceny w takiej lokalizacji. Na pewno jeszcze czegoś spróbuję. Polecam",,"Dobry kebab, miła obsługa, niewygórowane ceny w takiej lokalizacji. Na pewno jeszcze czegoś spróbuję. Polecam","Good kebab, nice service, high prices in such a location. I'm sure I'll try something else. I recommend"
5214,Dara Kebab,Rzeszów,"Jana Matejki 16, 35-060 Rzeszów, Polska",5,"Pycha, jeden z lepszych kebsów",,"Pycha, jeden z lepszych kebsów","Yummy, one of the best kebs"
5221,Dara Kebab,Rzeszów,"Rynek 18, 35-064 Rzeszów, Polska",5,darmowa herbata desery i lizaczki obsluga bardzo mila jedzenie wysmienite pozdrawiam,,darmowa herbata desery i lizaczki obsluga bardzo mila jedzenie wysmienite pozdrawiam,free tea desserts and lollipops service very nice food excellent greetings
5227,Dara Kebab,Rzeszów,"Rynek 18, 35-064 Rzeszów, Polska",5,"Bardzo smaczny kebab, dobre proporcje, świeże składniki i miła obsługa.",,"Bardzo smaczny kebab, dobre proporcje, świeże składniki i miła obsługa.","Very tasty kebab, good proportions, fresh ingredients and nice service."
5228,Dara Kebab,Rzeszów,"Rynek 18, 35-064 Rzeszów, Polska",5,pyszne kebaby i frytki miła obsługa oraz fajny klimat pozdrawiam i polecam,,pyszne kebaby i frytki miła obsługa oraz fajny klimat pozdrawiam i polecam,delicious kebabs and fries nice service and nice climate greet and recommend
5229,Dara Kebab,Rzeszów,"Rynek 18, 35-064 Rzeszów, Polska",5,Kebab przepyszny,,Kebab przepyszny,Tasty kebab
5230,Dara Kebab,Rzeszów,"Rynek 18, 35-064 Rzeszów, Polska",5,"Superb, also a great location.","Znakomite, również świetna lokalizacja.","Znakomite, również świetna lokalizacja.","Excellent, also a great location."
5231,Dara Kebab,Rzeszów,"Rynek 18, 35-064 Rzeszów, Polska",5,"Bardzo dobre jedzenie, szybko podane. Obsługa miła. Zaglądnę tu jeszcze nie raz",,"Bardzo dobre jedzenie, szybko podane. Obsługa miła. Zaglądnę tu jeszcze nie raz","Very good food, quickly served. Service nice. I'll look here again"
5232,Dara Kebab,Rzeszów,"Rynek 18, 35-064 Rzeszów, Polska",5,"Gorąco pozdrawiam przemiłą obsługę Dary kebab na Kopisto przy Millenium Hall. Mialam tam mały wypadek i wysypało mi się dziwnie na schodach a miły Pan  dołożył mi kids nocą i nie chciał pieniędzy a wszystko z uśmiechem i wyrozumiałością. Wystrój cudny, jedzenie pyszne obsługa bardzo miła. Teraz podają herbatkę w tureckich szklankach co jest bardzo miłe. Zachęcam do odwiedzenia Dara Kebab Kopisto 😄",,"Gorąco pozdrawiam przemiłą obsługę Dary kebab na Kopisto przy Millenium Hall. Mialam tam mały wypadek i wysypało mi się dziwnie na schodach a miły Pan  dołożył mi kids nocą i nie chciał pieniędzy a wszystko z uśmiechem i wyrozumiałością. Wystrój cudny, jedzenie pyszne obsługa bardzo miła. Teraz podają herbatkę w tureckich szklankach co jest bardzo miłe. Zachęcam do odwiedzenia Dara Kebab Kopisto 😄","I warmly greeted the lovely service of the Gift of Kebab at the Kopisto at Millenium Hall. I had a little accident there and spilled strangely on the stairs and the nice Lord put the kids in my pocket at night and didn't want money and everything with a smile and understanding. Decor wonderful, delicious food service very nice. Now they serve tea in Turkish glasses which is very nice. I encourage you to visit Dara Kebab Kopisto"
5233,Dara Kebab,Rzeszów,"Rynek 18, 35-064 Rzeszów, Polska",5,Super kebab,super kebab,super kebab,super kebab
5234,Dara Kebab,Rzeszów,"Rynek 18, 35-064 Rzeszów, Polska",5,wszystko super,,wszystko super,Everything's great.
5235,Dara Kebab,Rzeszów,"Rynek 18, 35-064 Rzeszów, Polska",5,bardzo polecam super obsługa,,bardzo polecam super obsługa,I highly recommend super service
5236,Dara Kebab,Rzeszów,"al. Tadeusza Rejtana 69, 35-001 Rzeszów, Polska",5,Super,,Super,Great.
5239,Dara Kebab,Rzeszów,"al. Tadeusza Rejtana 69, 35-001 Rzeszów, Polska",5,Dara kebab rejtana,,Dara kebab rejtana,Dara kebab rejtana
5240,Dara Kebab,Rzeszów,"al. Tadeusza Rejtana 69, 35-001 Rzeszów, Polska",5,Просто суппер,Po prostu super,Po prostu super,That's just great.
5241,Dara Kebab,Rzeszów,"al. Tadeusza Rejtana 69, 35-001 Rzeszów, Polska",1,"Dara 10 - 11 lat temu to wymiatała , wtedy największy kebab miał 300 gram mięska , a teraz zostały okrojone do 200 gram i cena prawie razy dwa ,rozumiem że musi drożeć itd ale okrajac kebaba ?? Moim zdaniem nie uczciwe , nie wspominając o jego jakości... najlepiej spróbować mięsa osobno beż sosu surówki.. no słabawy pasztecik - nie chodzę już tam od ok 5-6 lat ale jednego dla sprawdzenia wzialem z kims na poł . Pozdrawiam :)",,"Dara 10 - 11 lat temu to wymiatała , wtedy największy kebab miał 300 gram mięska , a teraz zostały okrojone do 200 gram i cena prawie razy dwa ,rozumiem że musi drożeć itd ale okrajac kebaba ?? Moim zdaniem nie uczciwe , nie wspominając o jego jakości... najlepiej spróbować mięsa osobno beż sosu surówki.. no słabawy pasztecik - nie chodzę już tam od ok 5-6 lat ale jednego dla sprawdzenia wzialem z kims na poł . Pozdrawiam :)","Dara 10 - 11 years ago it was sweeping, then the largest kebab had 300 grams of meat, and now they have been cut to 200 grams and the price almost twice, I understand that it must cost etc. but cutting off kebab??? In my opinion not fair, not to mention its quality... best try meat separately beige salad sauce... no weak patty - I haven't been there for about 5-6 years but one to check I took with someone in the middle. Greetings:)"
5243,Dara Kebab,Rzeszów,"al. Tadeusza Rejtana 69, 35-001 Rzeszów, Polska",5,Dziękuję za dobry klimat i wspaniały kebab,,Dziękuję za dobry klimat i wspaniały kebab,Thank you for the good climate and wonderful kebab
5244,Dara Kebab,Rzeszów,"al. Tadeusza Rejtana 69, 35-001 Rzeszów, Polska",5,Dziękuję za dobry klimat i wspaniały kebab,,Dziękuję za dobry klimat i wspaniały kebab,Thank you for the good climate and wonderful kebab
5246,Dara Kebab,Rzeszów,"al. Tadeusza Rejtana 69, 35-001 Rzeszów, Polska",5,Bardzo dobrze kebaby,,Bardzo dobrze kebaby,Very good kebabs
5249,Dara Kebab,Rzeszów,"al. Tadeusza Rejtana 69, 35-001 Rzeszów, Polska",5,Bardzo dziękuję smaczne kebaba,,Bardzo dziękuję smaczne kebaba,Thank you very much for your tasty kebab
5250,Dara Kebab,Rzeszów,"al. Tadeusza Rejtana 69, 35-001 Rzeszów, Polska",5,Bardzo dobrze i bardzo smaczne,,Bardzo dobrze i bardzo smaczne,Very good and very tasty
5251,Dara Kebab,Rzeszów,"al. Tadeusza Rejtana 69, 35-001 Rzeszów, Polska",5,Dziękuję za dobry klimat i wspaniały kebab,,Dziękuję za dobry klimat i wspaniały kebab,Thank you for the good climate and wonderful kebab
5252,Dara Kebab,Rzeszów,"al. Tadeusza Rejtana 69, 35-001 Rzeszów, Polska",5,Bardzo smaczne,,Bardzo smaczne,Very tasty.
5253,Dara Kebab,Rzeszów,"al. Tadeusza Rejtana 69, 35-001 Rzeszów, Polska",5,Bardzo smaczne,,Bardzo smaczne,Very tasty.
5254,Dara Kebab,Rzeszów,"al. Tadeusza Rejtana 69, 35-001 Rzeszów, Polska",5,Bardzo smaczne,,Bardzo smaczne,Very tasty.
5255,Dara Kebab,Rzeszów,"al. Tadeusza Rejtana 69, 35-001 Rzeszów, Polska",3,Wziąłem mega darollo i na początku było git ale na końcu same surówki więc średnio,,Wziąłem mega darollo i na początku było git ale na końcu same surówki więc średnio,I took a mega darollo and at first it was fine but at the end it was all pig iron so average
5256,Dara kebab,Rzeszów,"Aleja Majora Wacława Kopisto 1, 35-515 Rzeszów, Polska",5,"Bardzo uroczy kebab. Dobre ceny, dobre mięso, miła obsługa. Jest bardzo czysty, wygodne fotele i stoliki. Polecam",,"Bardzo uroczy kebab. Dobre ceny, dobre mięso, miła obsługa. Jest bardzo czysty, wygodne fotele i stoliki. Polecam","Very charming kebab. Good prices, good meat, nice service. It is very clean, comfortable chairs and tables. I recommend"
5259,Dara kebab,Rzeszów,"Aleja Majora Wacława Kopisto 1, 35-515 Rzeszów, Polska",5,"Najlepszy kebab w Rzeszowie!
Gorąco polecam.",,"Najlepszy kebab w Rzeszowie!
Gorąco polecam.",Best kebab in Rzeszow!
